Date,Nom de l'entraînement,Durée,Nom de l'exercice,Ordre de la série,Poids,Réps,Distance,Secondes,Notes,Notes d'entraînement,RPE
2025-08-21 12:52:22,"Push",52min,"Bench Press (Barbell)",1,40.0,12.0,0,0.0,"","",
2025-08-21 12:52:22,"Push",52min,"Bench Press (Barbell)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-21 12:52:22,"Push",52min,"Bench Press (Barbell)",2,40.0,12.0,0,0.0,,,
2025-08-21 12:52:22,"Push",52min,"Bench Press (Barbell)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-21 12:52:22,"Push",52min,"Bench Press (Barbell)",3,40.0,12.0,0,0.0,,,
2025-08-21 12:52:22,"Push",52min,"Bench Press (Barbell)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-21 12:52:22,"Push",52min,"Bench Press (Barbell)",4,40.0,12.0,0,0.0,,,
2025-08-21 12:52:22,"Push",52min,"Bench Press (Barbell)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-21 12:52:22,"Push",52min,"Incline Bench Press (Dumbbell)",1,14.0,12.0,0,0.0,"",,
2025-08-21 12:52:22,"Push",52min,"Incline Bench Press (Dumbbell)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-21 12:52:22,"Push",52min,"Incline Bench Press (Dumbbell)",2,14.0,12.0,0,0.0,,,
2025-08-21 12:52:22,"Push",52min,"Incline Bench Press (Dumbbell)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-21 12:52:22,"Push",52min,"Incline Bench Press (Dumbbell)",3,14.0,12.0,0,0.0,,,
2025-08-21 12:52:22,"Push",52min,"Incline Bench Press (Dumbbell)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-21 12:52:22,"Push",52min,"Incline Bench Press (Dumbbell)",4,14.0,12.0,0,0.0,,,
2025-08-21 12:52:22,"Push",52min,"Incline Bench Press (Dumbbell)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-21 12:52:22,"Push",52min,"Chest Fly (Band)",1,2.3,15.0,0,0.0,"",,
2025-08-21 12:52:22,"Push",52min,"Chest Fly (Band)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-21 12:52:22,"Push",52min,"Chest Fly (Band)",2,2.3,15.0,0,0.0,,,
2025-08-21 12:52:22,"Push",52min,"Chest Fly (Band)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-21 12:52:22,"Push",52min,"Chest Fly (Band)",3,2.3,15.0,0,0.0,,,
2025-08-21 12:52:22,"Push",52min,"Chest Fly (Band)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-21 12:52:22,"Push",52min,"Triceps Extension",1,9.0,15.0,0,0.0,"",,
2025-08-21 12:52:22,"Push",52min,"Triceps Extension",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-21 12:52:22,"Push",52min,"Triceps Extension",2,11.3,15.0,0,0.0,,,
2025-08-21 12:52:22,"Push",52min,"Triceps Extension",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-21 12:52:22,"Push",52min,"Triceps Extension",3,11.3,13.0,0,0.0,,,
2025-08-21 12:52:22,"Push",52min,"Triceps Extension",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-21 12:52:22,"Push",52min,"Lateral Raise (Dumbbell)",1,6.0,15.0,0,0.0,"",,
2025-08-21 12:52:22,"Push",52min,"Lateral Raise (Dumbbell)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-21 12:52:22,"Push",52min,"Lateral Raise (Dumbbell)",2,6.0,15.0,0,0.0,,,
2025-08-21 12:52:22,"Push",52min,"Lateral Raise (Dumbbell)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-21 12:52:22,"Push",52min,"Lateral Raise (Dumbbell)",3,6.0,15.0,0,0.0,,,
2025-08-21 12:52:22,"Push",52min,"Lateral Raise (Dumbbell)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-22 07:44:03,"Pull",52min,"Bent Over Row (Barbell)",1,50.0,12.0,0,0.0,"","",
2025-08-22 07:44:03,"Pull",52min,"Bent Over Row (Barbell)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-22 07:44:03,"Pull",52min,"Bent Over Row (Barbell)",2,50.0,12.0,0,0.0,,,
2025-08-22 07:44:03,"Pull",52min,"Bent Over Row (Barbell)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-22 07:44:03,"Pull",52min,"Bent Over Row (Barbell)",3,50.0,12.0,0,0.0,,,
2025-08-22 07:44:03,"Pull",52min,"Bent Over Row (Barbell)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-22 07:44:03,"Pull",52min,"Bent Over Row (Barbell)",4,50.0,10.0,0,0.0,,,
2025-08-22 07:44:03,"Pull",52min,"Bent Over Row (Barbell)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-22 07:44:03,"Pull",52min,"Lat Pulldown (Cable)",1,45.0,12.0,0,0.0,"",,
2025-08-22 07:44:03,"Pull",52min,"Lat Pulldown (Cable)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-22 07:44:03,"Pull",52min,"Lat Pulldown (Cable)",2,45.0,12.0,0,0.0,,,
2025-08-22 07:44:03,"Pull",52min,"Lat Pulldown (Cable)",Minuteur de repos,0,0.0,0,120.0,,,
2025-08-22 07:44:03,"Pull",52min,"Lat Pulldown (Cable)",3,45.0,12.0,0,0.0,,,
